S01001,Arun,Madurai,1,M,arun@gmail.com
S01002,Aruvi,Chennai,1,F,aruvi@gmail.com
S01003,Kumar,Chennai,1,M,kumar@gmail.com
S01004,Meera,Trichy,1,F,meera@gmail.com
S01005,Naveen,Coimbatore,1,M,naveen@gmail.com
S02001,Bala,Trichy,2,M,bala@gmail.com
S02002,Deva,Trichy,2,M,deva@gmail.com
S02003,Harini,Chennai,2,F,harini@gmail.com
S02004,Kavin,Coimbatore,2,M,kavin@gmail.com
S02005,Mani,Puthukottai,2,M,mani@gmail.com
S03001,Archana,Madurai,3,F,archana@gmail.com
S03002,Jeeva,Chennai,3,M,jeeva@gmail.com
S03003,Kalai,Thanjavur,3,F,kalai@gmail.com
S03004,Lavanya,Puthukottai,3,F,lavanya@gmail.com
S03005,Praveen,Chennai,3,M,praveen@gmail.com
S04001,Aaruvi,Coimbatore,4,F,aaruvi@gmail.com
S04002,Bala,Thanjavur,4,M,bala@gmail.com
S04003,Deevi,Puthukottai,4,F,deevi@gmail.com
S04004,Malar,Puthukottai,4,F,malar@gmail.com
S04005,Thanya,Chennai,4,F,thanya@gmail.com
S05001,Ashwin,Trichy,5,M,ashwin@gmail.com
S05002,Dhanush,Trichy,5,M,dhanush@gmail.com
S05003,Kaviya,Thanjavur,5,F,kaviya@gmail.com
S05004,Latha,Mannarkudi,5,F,latha@gmail.com
S05005,Naane,Chennai,5,M,naane@gmail.com
S06001,Akash,Chennai,6,M,akash@gmail.com
S06002,Eeswaran,Nagapattinam,6,M,eeswaran@gmail.com
S06003,Ferina,Coimbatore,6,F,ferina@gmail.com
S06004,Hari,Thanjavur,6,M,hari@gmail.com
S06005,Meena,Trichy,6,F,meena@gmail.com
S07001,Bharani,Mannarkudi,7,M,bharani@gmail.com
S07002,Dhivya,Chennai,7,F,dhivya@gmail.com
S07003,Jagan,Chennai,7,M,jagan@gmail.com
S07004,Nithish,Nagapattinam,7,M,nithish@gmail.com
S07005,Praveen,Trichy,7,M,praveen@gmail.com
S08001,Bhrath,Trichy,8,M,bhrath@gmail.com
S08002,Dharani,Salem,8,F,dharani@gmail.com
S08003,Guna,Puthukottai,8,M,guna@gmail.com
S08004,Jana,Mannarkudi,8,M,jana@gmail.com
S08005,Kalai,Mannarkudi,8,F,kalai@gmail.com
S09001,Baskar,Puthukottai,9,M,baskar@gmail.com
S09002,Deepa,Trichy,9,F,deepa@gmail.com
S09003,Guhan,Salem,9,M,guhan@gmail.com
S09004,Maithili,Nagapattinam,9,F,maithili@gmail.com
S09005,Shameer,Chennai,9,M,shameer@gmail.com
S10001,Anu,Puthukottai,10,F,anu@gmail.com
S10002,Guru,Trichy,10,M,guru@gmail.com
S10003,Rathi,Thanjavur,10,F,rathi@gmail.com
S10004,Sam,Salem,10,M,sam@gmail.com
S10005,Veera,Coimbatore,10,M,veera@gmail.com
S11001,Arun,Salem,11,M,arun@gmail.com
S11002,Harshath,Trichy,11,M,harshath@gmail.com
S11003,Mallika,Nagapattinam,11,F,mallika@gmail.com
S11004,Pavani,Chennai,11,F,pavani@gmail.com
S11005,Swathi,Kumbakonam,11,F,swathi@gmail.com
S12001,Aarthi,Coimbatore,12,F,aarthi@gmail.com
S12002,Deepa,Trichy,12,F,deepa@gmail.com
S12003,Kumar,Salem,12,M,kumar@gmail.com
S12004,Mohan,Puthukottai,12,M,mohan@gmail.com
S12005,Ram,Nagapattinam,12,M,ram@gmail.com
